politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q3241340,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Gourjade08103-hemi.jpg,Linda Gourjade,1962-07-13T00:00:00Z
http://www.wikidata.org/entity/Q324187,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/M%20JOUYET%2008%20AMF%202009.JPG,Jean-Pierre Jouyet,1954-02-13T00:00:00Z
http://www.wikidata.org/entity/Q3241953,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Tardy%202009.jpg,Lionel Tardy,1966-06-07T00:00:00Z
http://www.wikidata.org/entity/Q3241966,"French investment banker, economist and private banker",http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Zinsou.jpg,Lionel Zinsou,1954-10-23T00:00:00Z
http://www.wikidata.org/entity/Q3246602,French senator and member of the member of the Union for a Popular Movement (b.1950),http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Marini%20utc.png,Philippe Marini,1950-01-28T00:00:00Z
http://www.wikidata.org/entity/Q3259633,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Lorrain%20de%20Saint%20Affrique.jpg,Lorrain de Saint Affrique,1952-11-05T00:00:00Z
http://www.wikidata.org/entity/Q3260446,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Fleming%20LouisConstant%20S%C3%A9nat%202008.jpg,Louis-Constant Fleming,1946-12-01T00:00:00Z
http://www.wikidata.org/entity/Q3260896,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Tobie%20Mbida.jpg,Louis-Tobie Mbida,1956-04-21T00:00:00Z
http://www.wikidata.org/entity/Q3261014,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Aliot%20Perpignan2008.JPG,Louis Aliot,1969-09-04T00:00:00Z
http://www.wikidata.org/entity/Q3262045,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Giscard%20d%27Estaing.png,Louis Giscard d'Estaing,1958-10-20T00:00:00Z
http://www.wikidata.org/entity/Q3263469,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20de%20Gouyon%20Matignon%20-%20Europe.png,Louis de Gouyon Matignon,1991-09-14T00:00:00Z
http://www.wikidata.org/entity/Q3264729,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/DeputeXIVeLegVeRep-Luc%20Belot.jpg,Luc Belot,1974-09-06T00:00:00Z
http://www.wikidata.org/entity/Q3264768,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Luc%20Carvounas%20-%201.jpg,Luc Carvounas,1971-06-08T00:00:00Z
http://www.wikidata.org/entity/Q3265107,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Luce%20Pane.JPG,Luce Pane,1955-09-28T00:00:00Z
